"Filename","LineNumber","ToolName"
"channels.ts","22",
"channels.ts","78",
"channels.ts","127",
"channels.ts","170",
"channels.ts","207",
"codePreview.ts","212",
"editEmbed.ts","289",
"editEmbed.ts","388",
"editEmbed.ts","496",
"embeds.ts","777",
"embeds.ts","1751",
"embeds.ts","1768",
"embeds.ts","1797",
"fileDownload.ts","20",
"fileUpload.ts","180",
"games.ts","28",
"games.ts","119",
"interactions.ts","460",
"interactions.ts","509",
"interactions.ts","565",
"listImages.ts","1393",
"members.ts","26",
"members.ts","97",
"members.ts","151",
"members.ts","187",
"members.ts","224",
"members.ts","257",
"members.ts","296",
"members.ts","333",
"members.ts","368",
"members.ts","410",
"members.ts","452",
"messages.ts","17",
"messages.ts","59",
"messages.ts","97",
"messages.ts","127",
"messages.ts","157",
"registerButtonFunctions.ts","21",
"registerButtonFunctions.ts","182",
"registerButtonFunctions.ts","208",
"registerButtonFunctions.ts","235",
"registerServer.ts","39",
"registerServer.ts","60",
"registerServer.ts","95",
"registerServer.ts","124",
"registerSystem.ts","65",
"registerSystem.ts","81",
"registerWebhooks.ts","38",
"registerWebhooks.ts","65",
"registerWebhooks.ts","94",
"roles.ts","22",
"roles.ts","60",
"roles.ts","109",
"roles.ts","155",
"roles.ts","195",
